"자산/표현","사용 형태","관할·법적 근거(조항/판례)","위험도","안전한 사용 조건 또는 대체안","원문 URL"
"선수 실명 (한글/영문)","스쿼드·리플레이에 실제 선수명 텍스트 표기","[KR] 서울서부지법 2010. 4. 21.자 2010카합245 결정: ""성명 전부·일부를 그대로 사용하거나, 그대로 쓰지 않더라도 그 사람을 나타낸다고 볼 정도로 변형해 쓰는 경우에도 퍼블리시티권 침해""law.go. 부정경쟁방지법 제2조 제1호 타목(舊 개정 전 표기 기준): 국내에 널리 인식·경제적 가치 있는 타인의 성명·초상 무단 사용kimchang","고","실명 직접 표기 회피. 주최 측 권장대로 실제 정보 참고 더미 데이터 사용(가공된 가명·포지션·능력치). 또는 판단을 사용자에게 넘기는 빈 라벨(직접 입력)","law.go.krlaw.go"
"선수 이니셜/변형 표기 (""SHM"", ""손"", ""LEE.S.Y"")","실명 대신 이니셜·약칭으로 특정 선수 지칭","[KR] 서울서부지법 2010카합245: 영문 이니셜(예: 'LEE.S.Y'→이승엽)도 ""특정인을 연상""시키면 침해. 마구마구 사건에서 이니셜 사용도 금지 (법제처law.go, 법률방송ltn)","고","이니셜도 안전지대가 아님. 특정인 연상이 안 되는 완전 가공명 사용","law.go.krlaw.go"
"선수 실명 (미국 관할 가정)","성명+경기기록을 서비스에 사용","[US] C.B.C. Distribution & Marketing v. MLBAM, 505 F.3d 818 (8th Cir. 2007), cert. denied (2008): 퍼블리시티권 침해 소지는 있으나 수정헌법 제1조(표현의 자유)가 우선해 공개된 이름·통계의 무단 사용 허용 (Harvard JOLTjolt.law.harvard, Yale LJyalelawjournal)","중 (미국 한정)","미국법은 관대하나 한국 서비스·한국 이용자에는 한국법(속지주의)이 우선 적용될 가능성이 높음. 미국 판례에 기대지 말 것","jolt.law.harvard.edujolt.law.harvard"
"등번호 · 포지션 (그 자체)","""9번"", ""CF"" 등 순수 사실 정보 표기","[KR] 등번호·포지션 자체를 보호하는 명문 규정 미확인. 다만 마구마구 판결은 ""성명, 소속구단, 수비위치 등 인적 정보""를 결합해 특정인을 지칭한 행위를 문제 삼음blog.naver","저(단독)~중(실명·팀과 결합 시)","등번호·포지션 단독은 저위험. 단, 실명·소속과 결합해 특정 선수를 재현하면 위험 상승","law.go.krlaw.go"
"국기 (national flag)","참가국 표시용 국기 아이콘","[국제] Paris Convention Article 6ter: 국기·국가 문장은 ""상표로서의 등록·사용""에 한해 보호. WIPO: ""does not generate a trademark right, or any other type of IP right""—즉 저작권을 창설하지 않음 (WIPOwipo, Wikipediawikipedia)","저","국기를 상표처럼 쓰거나 공식 후원 오인을 유발하지 않는 한, 식별용 표시는 저위험. 오픈소스 라이브러리(하단 참조) 사용","wipo.intwipo"
"국가대표팀 엠블럼","대표팀 공식 로고·문장 표시","[KR] 상표법상 각 협회 등록상표 가능성 + 저작권(도안). 개별 협회 등록 여부는 미확인","고","사용 금지. 국기 또는 추상 색상 팔레트로 대체","(개별 확인 필요)"
"FIFA 로고·엠블럼·트로피·마스코트","공식 엠블럼/트로피/마스코트 이미지","[FIFA] FIFA World Cup 26™ IP Guidelines (v2.0, 2024-06): Official Emblem·Wordmark·Trophy·Mascot·Official Typeface ""FWC 26""은 저작권·상표·디자인등록으로 보호. ""Only FIFA Rights Holders are permitted to use the Official Intellectual Property for commercial purposes""fifadigitalarchive","고","일절 사용 금지. 자체 제작 추상 트로피/아이콘으로 대체","FIFA IP Guidelinesfifadigitalarchive"
"대회 명칭 ""FIFA World Cup 2026""","서비스 내 상표적 명칭 사용","[FIFA] 워드마크 ""FIFA World Cup 26™"", ""World Cup™"" 등 등록. 상업적/브랜드 편입 금지fifadigitalarchive","고","서비스명·로고에 편입 금지","FIFA IP Guidelinesfifadigitalarchive"
"""2026 월드컵"" 사실 서술적 언급","""2026 월드컵 데이터 기반"" 등 설명","[FIFA] ""Editorial/descriptive use of the event is permissible as long as the use does not create a risk of confusion that the service is in any way connected with the Tournament or FIFA."" + 반복적·정적 배치로 후원 오인 유발 금지fifadigitalarchive","중","본문 서술로 1회성 사실 언급은 허용. 공식 엠블럼·워드마크(™) 미사용 + ""비공식/팬 프로젝트"" 고지 + 후원 오인 회피","FIFA IP Guidelinesfifadigitalarchive"
"(a) 이니셜 디스크 (""손"", ""SHM"")","아바타에 이니셜 표시","[KR] 서울서부지법 2010카합245: 이니셜도 ""특정인 연상"" 시 침해law.go","중~고","실제 선수를 연상시키는 이니셜 회피. 무의미한 문자·번호만","law.go.krlaw.go"
"(b) 등번호 원판","번호만 표시된 원형 마커","[KR] 번호 단독 보호 규정 미확인 → 저위험. 단 실명·팀 결합 시 상승","저","번호 단독 표시는 안전. 실명 병기 회피","(근거 없음→미확인)"
"(c) 무늬 없는 인물 실루엣","일반 인체 실루엣","[일반] 특정인 식별 불가한 범용 실루엣은 초상권·퍼블리시티권 대상 아님(자기동일성 표지 부재). 근거는 위 판례의 ""특정인 연상"" 기준의 반대해석","저","특정 선수 포즈·특징 재현 회피","law.go.krlaw.go"
"(d) 유니폼 색상 조합 팔레트","팀 대표색만 차용","[KR] 색상 조합 자체의 보호는 원칙적 곤란. 단 부정경쟁방지법 제2조 제1호 파목(성과 도용) 적용 가능성—""고객흡인력·혼동가능성"" 종합 판단namu","저~중","색상만 차용은 저위험. 엠블럼·로고·문양 결합 회피","(파목 법리는 사건별 판단)"
