"모델/서비스","평가 데이터(규모·기간)","정확도 지표(수치)","시뮬레이션 반복","보정 검증 결과","1차 출처 URL"
"Dixon-Coles (1997) 원 논문","잉글랜드 리그(클럽), 1992–95","미확인 (원문 본문 AUC/Brier/RPS 미열람, 유료 게이트)","미확인","미확인","OUP JRSS-C 46(2):265"
"Dixon-Coles 국가대표 재현","미확인 — 국제 데이터 직접 평가한 1차 재현 논문 미확인","미확인","—","—","(미확인)"
"Bivariate Poisson (Karlis & Ntzoufras 2003) 원 논문","축구·수구 리그(클럽), 국가대표 아님","적합도·무승부 개선 중심; out-of-sample AUC/Brier/RPS 미확인","미확인","미확인","AUEB PDF"
"Bivariate Poisson EURO 재현","EURO 2004–2012","""공분산항 λ3 불필요, 독립 포아송으로 충분""(정성 결론). 수치 미기재","미확인","미확인","LMU TR"
"Elo (Hvattum & Arntzen 2010)","잉글랜드 리그 8시즌 (2000-01~2007-08)","두 Elo 변형 모두 북메이커 오즈 기반 2개 방법보다 열등, 나머지 4개보다 우수. 구체 RPS/수익 수치 미확인(유료)","없음(백테스트)","미확인","ScienceDirect · Graham Kendall 요약"
"국제대회 실측: Elo-로지스틱/더블포아송 baseline","테스트 128경기 = 2018 WC(64)+2022 WC(64), out-of-sample","RPS 0.209~0.219, 정확도 0.508~0.547 (M1 Elo-로지스틱 0.219/0.508; M3 더블포아송 0.212/0.516)","진출확률 산출 몬테카를로 5,000회","Brier/log-loss 미보고","arXiv 2606.24171"
"FiveThirtyEight (SPI) 클럽","1888년~ 550,000+경기 (Opta 데이터 2010~)","5대 리그 3시즌 RPS 0.1957","리그 시즌 20,000회","RPS로 검증","클럽 방법론(archive)"
"FiveThirtyEight 월드컵","2018 WC 64경기 / 2019 여자WC 52경기","대회 지표 미보고","월드컵 10,000회(2014년 명시) / 이후 페이지는 ""수천 회"" 로만 표기","[사실] ""32% 확률이라 하면 실제 약 32% 승리해야""; ""1/1000 역전은 1000경기당 1회""","2014 WC · 2018 WC(archive) · 2019 여자WC"
"Opta 슈퍼컴퓨터 2026 WC","2026 사전예측","Spain 우승 16.1% 등 (정확도 지표 미보고)","25,000회","미기재","theanalyst.com"
"The Athletic (xGC) 2026 WC","Opta Event 데이터","[사실] 캘리브레이션: ""0골 확률 30%로 추정→100경기 중 30경기 0골""; net xGC↔Transfermarkt 우위 일치 80%","미확인","위 캘리브레이션 진술","The Athletic/NYT"
"참고: Elo+bivpois WC2018 (TU Graz)","2010년 이후 참가국 중립경기","(반복 산출용 백테스트)","100,000회, Karlis-Ntzoufras bivpois R 패키지 사용","미기재","TU Graz PDF"
"참고: Zeileis 부트메이커 컨센서스","2018/2026 WC","(컨센서스 역산)","1,000,000회","미기재","zeileis.org 2018"
